,name,position,targets,receptions,catch percentage,yards,touchdowns
488,Darrell Daniel,te,4,1,25.0%,0,0
489,Frank Darb,wr,4,1,25.0%,14,0
490,Davion Davi,wr,3,1,33.3%,17,0
491,Wayne Gallma,,3,1,33.3%,21,0
492,Marvin Hal,wr,1,1,100.0%,10,0
493,Taylor Heinick,QB,1,1,100.0%,-2,0
494,,,,,,,
495,Daniel Hel,te,2,1,50.0%,-1,0
496,Kylin Hil,rb,2,1,50.0%,5,0
497,Amani Hooke,FS,1,1,100.0%,6,0
498,Brycen Hopkin,te,1,1,100.0%,9,0
499,Andy Isabell,wr,1,1,100.0%,13,0
500,Lane Johnso,RT,1,1,100.0%,5,1
501,Daniel Jone,QB,1,1,100.0%,16,0
502,Tommylee Lewi,wr,2,1,50.0%,7,0
503,Drew Loc,qb,1,1,100.0%,1,0
504,Hunter Lon,te,3,1,33.3%,8,0
505,Conor McDermot,t,1,1,100.0%,1,1
506,Anthony McFarland Jr,rb,1,1,100.0%,11,0
507,Kirk Merrit,wr,3,1,33.3%,13,0
508,Johnny Mund,te,1,1,100.0%,9,0
509,Ryan Nal,rb,1,1,100.0%,4,0
510,Devine Ozigb,,1,1,100.0%,7,0
511,Danny Pinte,g,1,1,100.0%,2,1
512,Bobby Pric,db,1,1,100.0%,17,0
513,Mike Remmer,t,1,1,100.0%,-2,0
514,Andre Robert,,2,1,50.0%,35,0
515,Aaron Rodgers,QB,1,1,100.0%,-4,0
516,Larry Rountre,RB,2,1,50.0%,-1,0
517,Diontae Spence,wr,4,1,25.0%,-3,0
518,Terence Steel,rt/lt,1,1,100.0%,1,1
519,Andrew Thoma,LT,1,1,100.0%,2,1
520,Eric Tomlinso,te,1,1,100.0%,7,0
521,Kevin Whit,wr,5,1,20.0%,38,0
522,Christian Wilkin,RDE,1,1,100.0%,1,1
523,Seth William,wr,1,1,100.0%,34,0
524,Trayveon William,rb,2,1,50.0%,4,0
525,,,,,,,
526,Easop Winsto,wr,1,1,100.0%,5,0
527,Deon Yelde,te,1,1,100.0%,0,0
528,Rodney Adam,wr,1,0,0.0%,0,0
529,Geronimo Alliso,wr,2,0,0.0%,0,0
530,Travis Benjami,wr,5,0,0.0%,0,0
531,Darius Bradwel,fb,1,0,0.0%,0,0
532,John Brow,,3,0,0.0%,0,0
533,Tevaughn Campbel,rcb,1,0,0.0%,0,0
534,Tyrie Clevelan,wr,1,0,0.0%,0,0
535,Isaiah Coulte,wr,1,0,0.0%,0,0
